ISI,RT,Response,Stimulus
1000,1000,CR,1
1000,1000,CR,2
1000,1000,CR,3
1000,1000,CR,4
1000,1000,CR,5
1000,1000,CR,6
1000,1000,CR,7
1000,1000,CR,8
1000,1000,CR,9
1000,1000,CR,10
1000,1000,CR,11
1000,1000,CR,12
1000,1000,CR,13
1000,1000,CR,14
1000,1000,CR,15
1000,1000,CR,16
1000,1000,CR,17
1000,1000,CR,18
1000,1000,CR,19
1000,1000,CR,20
1000,1000,CR,21
1000,1000,CR,22
1000,1000,CR,23
1000,1000,CR,24
1000,1000,CR,25
1000,1000,CR,26
1000,1000,CR,27
1000,1000,CR,28
1000,1000,CR,29
1000,1000,CR,30
1000,1000,CR,1
1000,1000,CR,2
1000,1000,CR,3
1000,1000,CR,4
1000,1000,CR,5
1000,1000,CR,6
1000,1000,CR,7
1000,1000,CR,8
1000,1000,CR,9
1000,1000,CR,10
1000,1000,CR,11
1000,1000,CR,12
1000,1000,CR,13
1000,1000,CR,14
1000,1000,CR,15
1000,1000,CR,16
1000,1000,CR,17
1000,1000,CR,18
